2026-04-01 08:39:13, MOVE, v:1, k:ed@manipulacao, mode:PICK
2026-04-01 12:25:55, MOVE, v:1, k:ed@especiais, mode:PICK
2026-04-01 12:28:10, EXEC, v:1, k:ed@especiais, mode:FULL, size:237, fail:COMP
2026-04-01 12:28:31, EXEC, v:1, k:ed@especiais, mode:FULL, size:237, fail:COMP
2026-04-01 12:28:41, EXEC, v:1, k:ed@especiais, mode:FULL, size:237, fail:COMP
2026-04-01 12:29:33, MOVE, v:1, k:ed@especiais, mode:BACK
2026-04-01 12:31:52, MOVE, v:1, k:ed@especiais, mode:PICK
2026-04-01 12:31:53, EXEC, v:1, k:ed@especiais, mode:FULL, size:238, fail:COMP
2026-04-01 12:32:15, EXEC, v:1, k:ed@especiais, mode:FULL, size:238, fail:COMP
2026-04-01 12:32:28, EXEC, v:1, k:ed@especiais, mode:FULL, size:238, fail:COMP
2026-04-01 12:32:50, EXEC, v:1, k:ed@especiais, mode:FULL, rate:0, size:238
2026-04-01 12:38:30, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:237
2026-04-01 12:53:04, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:258
2026-04-01 12:58:17, EXEC, v:1, k:ed@especiais, mode:FULL, size:273, fail:COMP
2026-04-01 12:58:34, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:273
2026-04-01 12:59:37, EXEC, v:1, k:ed@especiais, mode:FULL, size:274, fail:COMP
2026-04-01 12:59:54, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:274
2026-04-01 13:01:06, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:274
2026-04-01 13:01:34, EXEC, v:1, k:ed@especiais, mode:FULL, size:274, fail:COMP
2026-04-01 13:01:44, EXEC, v:1, k:ed@especiais, mode:FULL, size:274, fail:COMP
2026-04-01 13:01:51, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:274
2026-04-01 13:02:03, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:274
2026-04-01 13:03:52, EXEC, v:1, k:ed@especiais, mode:FULL, size:280, fail:COMP
2026-04-01 13:04:06, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:280
2026-04-01 13:06:25, EXEC, v:1, k:ed@especiais, mode:FULL, rate:12, size:280
