2026-05-04_19-50-40,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-04_19-50-40
2026-05-05_07-52-48,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-05_07-52-48
2026-05-26_16-42-30,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
2026-05-26_16-44-10,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
2026-06-30_14-41-33,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
2026-07-02_15-59-07,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
2026-07-02_15-59-20,100,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
2026-07-07_01-17-01,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
2026-07-07_02-26-02,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
2026-07-07_02-26-07,0,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
2026-07-07_02-26-07,---,lista.go:2026-05-04_19-50-40;main.go:2026-05-26_16-42-30
